id,document_count
646259,0
646260,0
646269,0
646284,0
646285,0
646293,0
646294,0
646295,0
646296,0
646297,0
646302,0
646305,0
646306,0
646307,0
646308,0
646309,0
646310,0
646312,0
646313,0
646314,0
646315,0
646316,0
646317,0
646318,0
646319,0
646320,0
646321,0
646333,0
646334,0
646335,0
646339,0
646347,0
646348,0
646372,0
646374,0
646377,0
646378,0
646379,0
646380,0
646381,0
646382,0
646383,0
647006,0
646384,0
646385,0
646386,0
646387,0
646393,0
646394,0
647037,0
646398,0
646399,0
646400,0
646401,0
646402,0
646406,0
646407,0
646408,0
646409,0
646410,0
646423,0
646428,0
646429,0
646430,0
646431,0
646432,0
646433,0
646435,0
646436,0
646452,0
646453,0
646454,0
646460,0
646468,0
646469,0
646470,0
646471,0
646472,0
646483,0
646484,0
646485,0
646492,0
646493,0
646573,0
646494,0
646499,0
646500,0
646501,0
646502,0
646503,0
646504,0
646505,0
646508,0
646510,0
646511,0
646519,0
646524,0
646525,0
646526,0
646527,0
646528,0
646529,0
646532,0
646533,0
646534,0
646538,0
646539,0
646540,0
646575,0
646542,0
646543,0
646544,0
646550,0
646576,0
647224,0
646553,0
646554,0
646555,0
646556,0
646557,0
646558,0
646559,0
646560,0
646561,0
646563,0
646565,0
646566,0
646569,0
646580,0
646581,0
646582,0
646588,0
646589,0
646607,0
646608,0
646590,0
646591,0
646595,0
646596,0
646604,0
646605,0
646606,0
646611,0
646612,0
646614,0
646618,0
646619,0
646620,0
646621,0
648861,0
646626,0
646628,0
646633,0
646635,0
646638,0
646716,0
646639,0
646640,0
646642,0
646646,0
646649,0
646650,0
646660,0
646661,0
646662,0
646663,0
646671,0
646672,0
646682,0
646683,0
646684,0
646685,0
646686,0
646687,0
646688,0
646689,0
646717,0
646718,0
646690,0
646691,0
646694,0
646696,0
646697,0
646700,0
646703,0
646704,0
646705,0
646706,0
646707,0
646708,0
646709,0
646710,0
646711,0
646712,0
646713,0
646714,0
646811,0
646726,0
646727,0
646728,0
646736,0
646737,0
648862,0
646738,0
646740,0
646741,0
646742,0
646743,0
646744,0
646812,0
646750,0
646751,0
646752,0
646753,0
646759,0
646843,0
646770,0
646771,0
646772,0
646773,0
646774,0
646778,0
646785,0
646786,0
646787,0
646796,0
646797,0
646798,0
646799,0
646803,0
646810,0
646813,0
646815,0
646822,0
646823,0
646827,0
646828,0
646829,0
646830,0
646831,0
646832,0
646833,0
646834,0
646835,0
646840,0
646853,0
646854,0
646855,0
646856,0
646857,0
646858,0
646860,0
646864,0
646867,0
646874,0
646881,0
646892,0
646882,0
646883,0
646884,0
646885,0
646886,0
646887,0
646888,0
646891,0
646894,0
646898,0
646899,0
646900,0
646901,0
646902,0
647203,0
646907,0
646912,0
646913,0
646914,0
646915,0
646916,0
646917,0
646918,0
646919,0
646920,0
647068,0
646922,0
646923,0
646924,0
646929,0
646930,0
646931,0
646932,0
646933,0
646934,0
646935,0
646936,0
646939,0
646942,0
646949,0
646954,0
646958,0
646960,0
646961,0
646972,0
646973,0
646974,0
646975,0
646976,0
646978,0
646979,0
646980,0
646981,0
646984,0
646987,0
646988,0
646990,0
646991,0
646998,0
647003,0
647080,0
647007,0
647008,0
647011,0
647012,0
647013,0
647081,0
647022,0
647023,0
647024,0
647025,0
647026,0
647027,0
647028,0
647029,0
647030,0
647031,0
647032,0
647038,0
647039,0
647040,0
647043,0
647095,0
647049,0
647054,0
647055,0
647060,0
647064,0
647067,0
647071,0
647072,0
647073,0
647074,0
647075,0
647076,0
647077,0
647078,0
647079,0
647082,0
647083,0
647089,0
647090,0
647091,0
647092,0
647093,0
647094,0
648863,0
647096,0
647097,0
647098,0
647099,0
647102,0
647108,0
647113,0
647115,0
647120,0
647206,0
647127,0
647134,0
647135,0
647207,0
647136,0
647139,0
647140,0
647141,0
647142,0
647150,0
647151,0
647152,0
647155,0
647156,0
647157,0
647159,0
647225,0
647166,0
647167,0
647168,0
647169,0
647170,0
647171,0
647172,0
647174,0
647176,0
647177,0
647208,0
647178,0
647179,0
647180,0
647181,0
647182,0
647183,0
647191,0
647193,0
647194,0
647201,0
647209,0
647210,0
647211,0
647212,0
647223,0
647228,0
647229,0
647230,0
647231,0
647232,0
647233,0
647234,0
647235,0
647236,0
647237,0
647238,0
647239,0
647240,0
647256,0
647259,0
647269,0
647270,0
647271,0
647272,0
647279,0
647284,0
647286,0
647287,0
647288,0
647289,0
647290,0
647291,0
647292,0
647293,0
647294,0
647299,0
647301,0
647302,0
647303,0
647304,0
647305,0
647307,0
647308,0
647309,0
647310,0
647311,0
647312,0
647313,0
647413,0
647317,0
647318,0
647319,0
647320,0
647321,0
647322,0
647323,0
647324,0
647325,0
647326,0
647327,0
647328,0
647329,0
647330,0
647331,0
647332,0
647333,0
647334,0
647335,0
648326,0
647336,0
647337,0
647338,0
647341,0
647342,0
647346,0
647347,0
647348,0
647349,0
647352,0
647353,0
647354,0
647414,0
647355,0
647356,0
647361,0
647362,0
647364,0
647365,0
647366,0
647369,0
647370,0
647371,0
647376,0
647377,0
647378,0
647379,0
647380,0
647383,0
647386,0
647387,0
647389,0
647390,0
647391,0
647396,0
647397,0
647402,0
647403,0
647404,0
647425,0
647426,0
647427,0
647428,0
647429,0
647430,0
647431,0
647432,0
647433,0
647434,0
647435,0
647439,0
647448,0
647449,0
647450,0
647455,0
647456,0
647457,0
647458,0
647459,0
647460,0
647461,0
647462,0
647470,0
647471,0
647472,0
647476,0
647477,0
647487,0
647488,0
647490,0
647491,0
647492,0
647496,0
647501,0
647508,0
647509,0
647510,0
647511,0
647513,0
647514,0
647515,0
647519,0
647526,0
647527,0
647528,0
647529,0
647546,0
647547,0
647548,0
647549,0
647550,0
647551,0
648331,0
647552,0
647553,0
647554,0
647555,0
649185,0
647571,0
647572,0
647578,0
647579,0
647580,0
647581,0
647582,0
647583,0
647586,0
647587,0
647602,0
647604,0
647605,0
647606,0
647607,0
647608,0
647609,0
647610,0
647613,0
647614,0
647615,0
647616,0
647617,0
649215,0
647618,0
647619,0
647630,0
647631,0
647632,0
647633,0
647634,0
647635,0
647646,0
647647,0
647648,0
647649,0
647650,0
647651,0
647652,0
647653,0
647654,0
647655,0
647656,0
647657,0
647659,0
647661,0
647662,0
647666,0
647675,0
647676,0
647680,0
647681,0
647682,0
647683,0
647684,0
647691,0
647694,0
647695,0
647697,0
647698,0
647699,0
647700,0
647704,0
647707,0
647708,0
647709,0
647710,0
647711,0
647712,0
647713,0
647714,0
647715,0
647716,0
647717,0
647718,0
647719,0
647720,0
647721,0
647722,0
647730,0
647731,0
647732,0
647914,0
649216,0
647733,0
647734,0
647735,0
647736,0
647737,0
647738,0
647739,0
647740,0
647741,0
647742,0
647821,0
649238,0
647747,0
647748,0
647749,0
647750,0
647751,0
647752,0
647753,0
647757,0
647758,0
647759,0
647760,0
647764,0
647765,0
647766,0
647767,0
647768,0
647769,0
647770,0
647771,0
647780,0
647781,0
647795,0
647822,0
647796,0
647797,0
647798,0
647799,0
647800,0
647801,0
647802,0
647803,0
647824,0
647915,0
647811,0
647813,0
647814,0
647815,0
647818,0
647819,0
647820,0
647825,0
647826,0
647827,0
647828,0
647832,0
647833,0
647834,0
647835,0
647836,0
647841,0
647842,0
647843,0
647844,0
647845,0
647846,0
647847,0
647848,0
647849,0
647850,0
647851,0
647853,0
647854,0
647855,0
647856,0
647857,0
647859,0
647860,0
647861,0
647869,0
647870,0
647871,0
647872,0
647873,0
647910,0
647911,0
647912,0
647913,0
647929,0
647930,0
647931,0
647932,0
647933,0
647934,0
647941,0
647942,0
647943,0
647946,0
647947,0
647957,0
647958,0
648019,0
647959,0
647960,0
647961,0
647964,0
647975,0
647976,0
647977,0
647978,0
647979,0
647980,0
647983,0
647984,0
647985,0
647986,0
647987,0
647992,0
647993,0
647998,0
647999,0
648000,0
648403,0
648001,0
648005,0
648006,0
648007,0
648008,0
648009,0
648010,0
648011,0
648012,0
648013,0
648014,0
648015,0
648023,0
648028,0
648029,0
648030,0
648031,0
648032,0
648033,0
648034,0
648036,0
648038,0
648040,0
648041,0
648043,0
648044,0
648047,0
648059,0
648061,0
648062,0
648063,0
648064,0
648065,0
648076,0
648077,0
648081,0
648082,0
648083,0
648085,0
648086,0
648090,0
648093,0
648094,0
648095,0
648096,0
648097,0
648098,0
648099,0
648102,0
648104,0
648245,0
648105,0
648106,0
648107,0
648108,0
648110,0
648111,0
648112,0
648113,0
648115,0
648246,0
648247,0
648116,0
648117,0
648118,0
648119,0
648120,0
648121,0
648122,0
648123,0
648124,0
648288,0
648134,0
648135,0
648136,0
648137,0
648148,0
648149,0
648150,0
648151,0
650483,0
648152,0
648153,0
648154,0
648156,0
648160,0
648161,0
648164,0
648447,0
648165,0
648166,0
648167,0
648168,0
648169,0
648171,0
648172,0
648173,0
648174,0
648176,0
648177,0
648182,0
648183,0
648184,0
648185,0
648186,0
648187,0
648199,0
648448,0
648188,0
648192,0
648193,0
648194,0
648195,0
648196,0
648197,0
648198,0
648449,0
648202,0
648203,0
648204,0
648205,0
648206,0
648207,0
648208,0
648450,0
650484,0
648217,0
648218,0
648219,0
648220,0
648221,0
648223,0
648224,0
648225,0
648226,0
648231,0
648232,0
648233,0
648234,0
648235,0
648236,0
648237,0
648238,0
648239,0
648240,0
648241,0
648243,0
648244,0
648248,0
648249,0
648250,0
648251,0
648254,0
648255,0
648256,0
648257,0
648258,0
648259,0
648260,0
648261,0
648262,0
648467,0
648264,0
648265,0
648266,0
648267,0
648270,0
648271,0
648272,0
648273,0
648360,0
648274,0
648275,0
648277,0
648278,0
648283,0
648284,0
648285,0
648286,0
648287,0
648381,0
648289,0
648290,0
648291,0
648292,0
648297,0
648298,0
648300,0
648321,0
648308,0
648309,0
648310,0
648311,0
648313,0
648319,0
648320,0
648336,0
648400,0
648348,0
648353,0
648354,0
648355,0
648356,0
648357,0
648358,0
648359,0
648401,0
648402,0
648361,0
648365,0
648366,0
648370,0
648371,0
